card_id_a,card_id_b,card_id_c,image_id,location_id,description,street_number,street,city,county,latitude,longitude,notes
D32,459,0,1,1,"Veranda, Tampa Bay Hotel",,,Tampa,Hillsborough,27.946756,-82.723562,
D32,460,0,1,1,"Entrance Gates, City Park & Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.545908,
D32,461,1,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.457219,
D32,461,2,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.457219,
D32,462,1,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.457219,
D32,462,2,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.457219,
D32,462,3,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.464193,
D32,462,4,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.464193,
D32,493,1,1,1,Tampa Yacht and Country Club,,,Tampa,Hillsborough,27.8748888,-82.491811,
D32,493,1,2,1,Tampa Yacht and Country Club,,,Tampa,Hillsborough,27.8748888,-82.491811,
D32,493,2,1,1,Tampa Yacht and Country Club,,,Tampa,Hillsborough,27.8748888,-82.723562,
D32,493,2,2,1,Tampa Yacht and Country Club,,,Tampa,Hillsborough,27.8748888,-82.723562,
D32,494,1,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.723562,
D32,494,2,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.723562,
D32,495,0,1,1,"7th Avenue, Ybor City",,,Tampa,Hillsborough,27.9610237,-82.456601,
D32,497,0,1,1,News Tribune Building,,,Tampa,Hillsborough,27.948942,-82.482783,Now the corner of Kennedy and Howard
D32,498,0,1,1,Tampa Elks Club,,,Tampa,Hillsborough,27.9487343,-82.482783,Now the corner of Kennedy and Howard
D32,500,0,1,1,"Palm Walk, Tampa Bay Hotel",,,Tampa,Hillsborough,27.946756,-82.450298,
D32,501,0,1,1,Bayshore Boulevard,,,Tampa,Hillsborough,27.928896,-82.450298,
D32,502,0,1,1,Hillsborough River,,,Tampa,Hillsborough,28.0209026,-82.491811,
D32,503,0,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.491811,
D32,505,1,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.956693,
D32,505,2,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.464014,
D32,506,0,1,1,"Old U.S. Garrison, Tampa, Fla.",,,Tampa,Hillsborough,27.9470329,-82.452053,
D32,507,0,1,1,"U.S. Garrison, Tampa, Fla.",,,Tampa,Hillsborough,27.9470329,-82.452053,
D32,508,0,1,1,"Citizens Bank & Trust Co. Building, Tampa, Fla.",,Franklin Street,Tampa,Hillsborough,27.9501323,-82.452053,
D32,509,0,1,1,"Palm Walk, Ballast Point",,,Tampa,Hillsborough,27.888187,-82.463957,"Since it is not possible to determine the exact location of the image, I located a position in which one could see the bay and suburbs.G6:O6"
D32,510,0,1,1,"The Old Barracks, Old Fort Brooks, Tampa, Fla.",,,Tampa,Hillsborough,27.9470329,-82.463957,"Since it is not possible to determine the exact location of the image, I located a position in which one could see the bay and suburbs.G6:O6"
D32,511,0,1,1,"German Club, Tampa, Florida",2016,Nebraska Avenue,Tampa,Hillsborough,27.57808,-82.463957,"Since it is not possible to determine the exact location of the image, I located a position in which one could see the bay and suburbs.G6:O6"
D32,512,1,1,1,"State Farmers Market, Plant City, Fla.",,,Plant City,Hillsborough,27.324054,-82.55495,
D32,512,2,1,1,"State Farmers Market, Plant City, Fla.",,,Plant City,Hillsborough,27.324054,-82.45111,not able to determine exact location of trail. Used wikipedia demographics for coordinates.
D32,512,3,1,1,"State Farmers Market, Plant City, Fla.",,,Plant City,Hillsborough,27.324054,-82.45111,not able to determine exact location of trail. Used wikipedia demographics for coordinates.
D32,513,0,1,1,"Old U.S. Garrison, Tampa, Fla.",,,Tampa,Hillsborough,27.9470329,-82.420921,location determined by google maps
D32,514,1,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.420921,location determined by google maps
D32,514,2,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.420921,location determined by google maps
D32,514,3,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.420921,location determined by google maps
D32,514,4,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.464014,
D32,515,0,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.4623374,unable to determine exact location on seventh avenue
D32,516,1,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.4623374,unable to determine exact location on seventh avenue
D32,516,2,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.4623374,unable to determine exact location on seventh avenue
D32,516,3,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.457306,
D32,516,4,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.457306,
D32,516,5,1,1,"Tampa Bay Hotel, Tampa, Fla.",,,Tampa,Hillsborough,27.946756,-82.481522,
D32,517,1,1,1,"Davis Causeway, Tampa, Fla.",,,Tampa,Hillsborough,27.968352,-82.457306,
D32,517,2,1,1,"Davis Causeway, Tampa, Fla.",,,Tampa,Hillsborough,27.968352,-82.457306,
D32,517,3,1,1,"Davis Causeway, Tampa, Fla.",,,Tampa,Hillsborough,27.968352,-82.488643,
D32,517,4,1,1,"Davis Causeway, Tampa, Fla.",,,Tampa,Hillsborough,27.968352,-82.481522,
D32,518,0,1,1,Tampa Automobile and Golf Club,,,Tampa,Hillsborough,27.9769145,-82.485742,
D32,519,0,1,1,"Private home in Tampa, Fla.",,,Tampa,Hillsborough,27.9470329,-82.458057,Florida Memories website lists location of De Soto Hotel as Marion Street. This is an approximate address.
